,country,year,gdp,gdp_cap,expenditure,population,inflation,enrollment,export,import
0,Brazil,2005,8.9163E+11,4790.437088,8.61307E+11,186127103,6.869537209,96.07993,1.35919E+11,1.05595E+11
1,Brazil,2006,1.10764E+12,5886.463588,1.07766E+12,188167356,4.183568129,96.75,1.59216E+11,1.29233E+11
2,Brazil,2007,1.39708E+12,7348.030794,1.37805E+12,190130443,3.641272991,92.47411,1.86199E+11,1.6716E+11
3,Brazil,2008,1.69582E+12,8831.023117,1.69904E+12,192030362,5.678593903,98.53831,2.29513E+11,2.32728E+11
4,Brazil,2009,1.66702E+12,8597.915352,1.67374E+12,193886508,4.888034799,96.58508,1.80895E+11,1.87616E+11
5,Brazil,2010,2.20887E+12,11286.24302,2.23187E+12,195713635,5.038726901,96.75,2.40007E+11,2.63001E+11
6,Brazil,2011,2.6162E+12,13245.6125,2.63633E+12,197514534,6.636449622,95.69718,3.03022E+11,3.2315E+11
7,Brazil,2012,2.46519E+12,12370.0242,2.4987E+12,199287296,5.40349914,98.54993,2.92804E+11,3.2631E+11
8,Brazil,2013,2.47281E+12,12300.32488,2.52972E+12,201035903,6.204310666,97.32389,2.90363E+11,3.47275E+11
9,Brazil,2014,2.45599E+12,12112.58821,2.52136E+12,202763735,6.329040155,97.4362,2.70453E+11,3.35819E+11
10,Brazil,2015,1.80221E+12,8814.000987,1.823E+12,204471769,9.029901024,96.85231,2.32489E+11,2.53273E+11
11,Brazil,2016,1.7957E+12,8710.09669,1.78852E+12,206163058,8.739143523,97.20202,2.23864E+11,2.16687E+11
12,Brazil,2017,2.06283E+12,9925.386238,2.04801E+12,207833831,3.44637335,97.55117,2.5833E+11,2.4351E+11
13,Brazil,2018,1.88548E+12,9001.234249,1.87829E+12,209469333,3.664850284,96.75,2.80743E+11,2.73547E+11
14,Brazil,2019,1.83976E+12,8717.186278,1.84586E+12,211049527,3.732976212,96.75,2.63498E+11,2.69602E+11
15,Peru,2005,76060606061,2729.498682,71238207905,27866145,1.616301939,99.26109,20421330421,15598932266
16,Peru,2006,88643193062,3154.331237,80409821047,28102056,2.002258012,99.21478,27068649606,18835277591
17,Peru,2007,1.02171E+11,3606.070435,94655161393,28333052,1.779986447,99.25682,32206455737,24690635986
18,Peru,2008,1.20551E+11,4220.616969,1.19319E+11,28562317,5.785875982,99.26272,35836836529,34605420554
19,Peru,2009,1.20823E+11,4196.312793,1.15057E+11,28792655,2.936231536,98.68156,31948077817,26182192418
20,Peru,2010,1.47529E+11,5082.354757,1.41658E+11,29027674,1.528320597,99.32155,41051644190,35180701568
21,Peru,2011,1.71762E+11,5869.32308,1.63144E+11,29264318,3.369310953,99.18032,52392070005,43774372753
22,Peru,2012,1.92649E+11,6528.972218,1.88258E+11,29506788,3.655709068,93.94488,52881407340,48490294207
23,Peru,2013,2.01175E+11,6756.752769,2.01519E+11,29773987,2.806716509,96.36661,49908212739,50251304637
24,Peru,2014,2.00789E+11,6672.880255,2.04081E+11,30090359,3.244963042,95.03941,45392391687,48683691441
25,Peru,2015,1.89805E+11,6229.101696,1.94718E+11,30470734,3.549288049,96.4863,40404471800,45316857179
26,Peru,2016,1.91896E+11,6204.99726,1.92257E+11,30926032,3.592113241,99.56785,43369085360,43730259844
27,Peru,2017,2.11007E+11,6710.508029,2.06943E+11,31444297,2.80283917,98.88371,52160711547,48096304248
28,Peru,2018,2.22045E+11,6941.235848,2.1796E+11,31989256,1.317647659,98.50107,56347593257,52262824804
29,Peru,2019,2.26848E+11,6977.695784,2.24016E+11,32510453,2.137153426,98.06,54863512420,52031582417
