,country,year,gdp,gdp_cap,expenditure,population,inflation,enrollment,export,import
0,United Kingdom,2001,1640000000000.0,27744.506460000004,1680000000000.0,59119673.0,1.5323496030000001,99.93639,411000000000.0,447000000000.0
1,United Kingdom,2002,1780000000000.0,30056.586219999997,1830000000000.0,59370479.0,1.520402459,99.82263,430000000000.0,476000000000.0
2,United Kingdom,2003,2050000000000.0,34419.14791,2100000000000.0,59647577.0,1.376500385,99.90834,490000000000.0,535000000000.0
3,United Kingdom,2004,2420000000000.0,40290.313969999996,2480000000000.0,59987905.0,1.390397567,99.40875,573000000000.0,635000000000.0
4,United Kingdom,2005,2540000000000.0,42030.28661,2600000000000.0,60401206.0,2.08913649,99.9966,634000000000.0,695000000000.0
5,United Kingdom,2006,2710000000000.0,44599.69757,2770000000000.0,60846820.0,2.455661664,99.63869,735000000000.0,791000000000.0
6,United Kingdom,2007,3100000000000.0,50566.8266,3160000000000.0,61322463.0,2.386561508,97.76573,783000000000.0,844000000000.0
7,United Kingdom,2008,2920000000000.0,47286.99849,2990000000000.0,61806995.0,3.521408563,98.87983,789000000000.0,852000000000.0
8,United Kingdom,2009,2410000000000.0,38713.13743,2450000000000.0,62276270.0,1.961731736,98.07041,636000000000.0,675000000000.0
9,United Kingdom,2010,2480000000000.0,39435.8399,2520000000000.0,62766365.0,2.492654725,98.19651999999999,700000000000.0,749000000000.0
10,United Kingdom,2011,2660000000000.0,42038.57225,2680000000000.0,63258810.0,3.8561124469999997,98.13593,816000000000.0,840000000000.0
11,United Kingdom,2012,2700000000000.0,42462.77157,2740000000000.0,63700215.0,2.573234797,98.36969,811000000000.0,843000000000.0
12,United Kingdom,2013,2790000000000.0,43444.532999999996,2820000000000.0,64128273.0,2.291666667,99.72458,834000000000.0,870000000000.0
13,United Kingdom,2014,3060000000000.0,47425.60768,3110000000000.0,64602298.0,1.4511201630000001,99.89948000000001,873000000000.0,916000000000.0
14,United Kingdom,2015,2930000000000.0,44974.83188,2970000000000.0,65116219.0,0.36804684200000004,99.93433,810000000000.0,850000000000.0
15,United Kingdom,2016,2690000000000.0,41064.13343,2740000000000.0,65611593.0,1.008417368,99.65208,766000000000.0,810000000000.0
16,Germany,2001,1940000000000.0,23607.882859999998,1910000000000.0,82349925.0,1.983856936,82.93565,619000000000.0,587000000000.0
17,Germany,2002,2070000000000.0,25077.72908,1980000000000.0,82488495.0,1.420805605,84.71067,674000000000.0,586000000000.0
18,Germany,2003,2500000000000.0,30243.576530000002,2400000000000.0,82534176.0,1.0342277659999999,84.99831999999999,819000000000.0,725000000000.0
19,Germany,2004,2810000000000.0,34044.05363,2660000000000.0,82516260.0,1.665733409,86.23536,1000000000000.0,857000000000.0
20,Germany,2005,2850000000000.0,34507.36881,2700000000000.0,82469422.0,1.5469096519999999,87.06885,1080000000000.0,935000000000.0
